,target
890,51.34919882
891,59.96223297
892,58.49694148
893,40.63073114
894,34.01831117
895,32.52642844
896,44.25986144
897,41.79263106
898,42.02911411
899,32.99248548
900,42.08174932
901,59.64403267
902,84.32710854
903,112.95677988
904,110.86695337
905,100.33772716
906,69.89300612
907,53.98929309
908,43.90097424
909,35.23089059
910,31.13072488
911,25.66781879
912,30.03187566
913,42.88749604
914,46.34169634
915,44.55556028
916,149.91160076
917,75.57140151
918,59.53191766
919,44.59702513
920,47.5816207
921,54.31902092
922,83.58048072
923,80.424735
924,91.66420708
925,83.77934704
926,40.93512
927,17.86719793
928,29.67305251
929,43.02530189
930,44.77807893
931,50.02244038
932,76.04616324
933,64.28472525
934,51.04918776
935,42.30782849
936,28.07204479
937,26.90278683
938,31.13450145
939,34.56352352
940,33.27979155
941,52.23788274
942,68.88254882
943,102.75237949
944,126.37724167
945,72.82077694
946,31.54355905
947,26.87258608
948,25.81078932
949,15.0696423
950,11.37833297
951,10.47294662
952,10.8557335
953,14.75517082
954,24.0053224
955,36.86786638
956,61.1964698
957,44.37124273
958,38.71639224
959,37.64837901
960,34.21764335
961,32.62835312
962,37.23765556
963,38.06443646
964,39.87825236
965,42.28781844
966,38.19391195
967,49.23697156
968,44.48037693
969,35.14096525
970,35.35106701
971,32.11582965
972,20.0081153
973,15.79853038
974,15.63676911
975,16.02707119
976,15.81205949
977,22.38986657
978,32.25950471
979,33.99771548
980,28.23290789
981,34.29569301
982,36.4111614
983,32.90587303
984,28.18962967
985,24.59960778
986,33.96646239
987,37.23997868
988,47.28885631
989,82.99618383
990,78.83609378
991,69.58519671
992,66.70851525
993,52.75099614
994,51.04480428
995,33.17250022
996,32.43199585
997,22.4034337
998,24.3690608
999,27.14594142
1000,27.60977742
1001,27.49506573
1002,25.5158732
1003,31.47378764
1004,26.88784151
1005,26.27381283
1006,25.1974612
1007,20.75701724
1008,16.07742081
1009,22.19991276
1010,39.57429226
1011,56.44376587
1012,102.18217042
1013,89.80763418
1014,84.54299337
1015,78.68967287
1016,66.19510111
1017,53.28048492
1018,46.58119001
1019,37.37711702
1020,34.62790379
1021,35.69814631
1022,43.5575715
1023,44.33371949
1024,56.93794404
1025,48.03627177
1026,53.46590897
1027,49.16687848
1028,33.50408296
1029,28.86150793
1030,27.89698107
1031,20.65627763
1032,37.54314376
1033,34.8710423
1034,93.00525882
1035,137.00747949
1036,115.47639732
1037,99.49304491
1038,78.94996896
1039,76.38161295
1040,64.16228335
1041,57.13796948
1042,53.63242378
1043,51.43050108
1044,49.75787609
1045,52.88899174
1046,61.2583296
